target_id	spi_AIV_tpm	spi_BM_tpm	spi_LBH_tpm	spi_LG_tpm	spi_RBH_tpm	spi_RG_tpm	spi_ROL_tpm	spi_RWB_tpm	spi_S_tpm	sp_ORM_tpm	sp_TMS_tpm
transcript-20173	0.0657212	0.0	0.0	0.0	0.0	0.0	0.0	0.23948699999999998	0.0	0.18785	0.0
mrna-8268	15.7422	22.933000000000003	10.5755	3.7397699999999996	11.949000000000002	5.9512599999999996	2.18152	0.518753	19.4475	5.92745	11.6742
mrna-8269	225.34900000000002	1074.99	641.785	447.665	622.985	382.647	639.395	669.803	204.38099999999997	251.128	135.388
transcript-20174	14.5711	11.1786	13.7909	13.1991	6.2561599999999995	10.7803	48.3545	34.1066	12.812999999999999	7.44388	10.5934
mrna-8270	5.88725	3.96549	6.03799	10.1168	5.86603	12.8591	0.554806	4.77126	6.06997	5.07335	3.85895
mrna-8271	2.3045400000000003	2.44818	8.7272	4.82331	4.27421	10.4593	2.29394	0.595885	13.959000000000001	1.24451	2.85771
mrna-8272	1.58483	0.409066	1.51979	3.26042	0.8588680000000001	2.92949	0.877065	0.0	5.453930000000001	0.0	0.43809799999999993
transcript-20175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-20176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-20177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-20178	0.0	0.0	11.6636	0.0	0.0	6.19906	0.0	0.0	0.0	0.0	4.88249
transcript-20179	0.197429	0.0	0.27265100000000003	0.0	2.54858	0.059455999999999995	0.0	0.0	0.0	0.397104	0.0
transcript-20180	12.9202	2.0510200000000003	2.92099	1.02053	0.197025	5.73417	0.0	0.0	11.9228	7.619839999999999	6.25349
transcript-20181	0.0	0.0	0.18498499999999998	0.0	0.0364883	0.0	0.0	0.0	0.083689	0.0162642	0.0
transcript-20182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.568735	0.0
transcript-20183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-20184	0.0	0.0	0.0	0.0	0.33361199999999996	0.0	0.0	0.0	0.0	0.0	0.0
transcript-20185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-20186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-20187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0688	0.0
transcript-20188	0.0	0.0	0.0	0.0	2.82711	0.0	0.0	0.0	0.0	0.0	0.0
transcript-20189	0.0	0.0	1.94902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-20190	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-20191	4.687119999999999	0.0	0.0	0.0	0.0	3.5055699999999996	0.0	13.9632	0.0	6.83643	2.0542
transcript-20192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-20193	0.706654	1.43872	3.44634	0.0	0.0	0.0	12.1683	1.93933	0.0	0.0	0.782792
mrna-8273	1.6387900000000002	1.88972	1.62522	0.0	0.0	0.9054190000000001	4.13239	2.24266	1.89451	0.45436000000000004	1.17319
mrna-8274	0.0	1.8815400000000002	4.2219999999999995	2.67265	0.0	0.228735	0.0	3.48156	5.027	2.5722099999999997	3.32482
mrna-8275	2.4565099999999997	1.9675900000000002	0.0	0.0	0.0	0.44514	0.0	0.0	3.3423199999999995	0.430888	1.35991
mrna-8276	1.64595	2.59315	10.7008	0.0	0.0	0.0	0.0	1.50034	11.815999999999999	0.0	1.21215
mrna-8277	25.3045	27.0872	51.4591	55.6827	72.0985	59.8839	45.4457	49.8137	51.6298	36.3854	27.3416
mrna-8278	27.2385	36.303000000000004	28.0788	26.7868	28.799	22.6948	66.1482	64.4145	41.8711	15.7992	20.8895
transcript-20194	700.185	5.94153	51.6209	0.0	28.5419	40.3889	84.411	71.4811	55.3999	607.285	764.942
mrna-8279	1.9698200000000001	0.5828810000000001	1.36897	0.988664	0.6047859999999999	1.75964	0.0	1.45018	0.0	1.1022	1.7311900000000002
mrna-12949	22.6175	16.4855	32.9171	29.3929	19.7694	27.7722	33.033	35.8594	13.1908	37.2566	18.004
mrna-12948	2.1947099999999997	0.0	2.12131	0.0	0.0	0.0	8.432839999999999	0.601308	0.0	3.46846	3.1589400000000003
transcript-31231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-31230	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mrna-8774	0.742847	0.0498354	0.0	0.715309	0.0	0.55267	0.515962	0.119423	1.08007	0.270615	1.01447
mrna-8773	6.6059	2.46417	3.9487699999999997	7.386889999999999	2.60743	7.283810000000001	7.58943	13.2763	6.53636	4.13092	5.49255
transcript-21842	0.464262	0.0	0.0	0.298273	0.0	0.0	0.0	0.0	1.65648	0.0	0.0
transcript-21159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.91677	0.0
transcript-21158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mrna-8772	1.76233	0.464837	0.8923059999999999	5.66678	1.20581	1.43095	4.66098	10.8083	1.03878	2.00655	2.78363
mrna-8771	6.31136	3.79441	6.45111	7.9863800000000005	5.87071	6.64688	20.8584	23.0349	6.7961	4.62206	6.52809
mrna-8770	25.3259	34.5662	78.23	26.4873	89.9342	68.5381	103.759	105.999	47.5952	28.5091	34.474000000000004
transcript-21157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-21156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
mrna-8769	2.67449	0.0500923	0.0	2.29923	0.0	2.97993	0.0	0.0	1.7372599999999998	3.7613199999999996	1.11543
mrna-8768	14.614	4.09091	18.8778	20.6083	24.1816	19.5965	3.50923	0.0	9.51708	16.8253	12.2194
transcript-21155	2.31537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51284
mrna-8767	15.0985	4.80898	20.8821	21.8112	19.1405	15.2458	0.5951270000000001	1.17068	8.55171	11.0414	9.7669
mrna-8766	19.2392	12.3201	23.9461	25.8557	15.574000000000002	30.5837	43.4243	33.993	21.3765	11.3148	17.0054
mrna-8765	97.7795	162.123	323.181	226.225	518.8580000000001	166.97799999999998	689.9119999999999	790.2289999999999	98.4264	69.9631	77.1639
mrna-8764	2.35124	0.40566399999999997	1.5498	1.0317	0.0	1.01051	1.71213	2.42729	1.8806200000000002	0.819792	0.0530539
mrna-8763	16.2136	3.79155	2.50319	54.8732	0.0	27.5273	4.39159	4.764530000000001	2.70276	24.6216	13.1497
mrna-8762	0.56965	0.5611970000000001	0.0	0.43561000000000005	0.0	1.00213	1.01959	0.0	0.0	1.35313	0.22493400000000002
mrna-8761	6.870830000000001	6.40402	11.1897	21.3536	4.8632	12.5302	1.10719	4.84084	8.88622	10.8348	4.22066
transcript-21154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-21153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-21152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-21151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-21150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript-21149	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
